"","school","zip","state","county","total_STEM_degrees","total degrees Black","total degrees Native","total degrees AsianPI","total degrees Hispanic","total degrees White","id"
"1","Touro College (New York, NY)","10001","New York","New York",1514,51,1,147,70,1245,"New York, New York"
"2","Cooper Union","10003","New York","New York",437,11,1,158,29,238,"New York, New York"
"3","School of Visual Arts","10010","New York","New York",200,5,1,61,33,100,"New York, New York"
"4","New York University","10012","New York","New York",2773,158,5,815,253,1542,"New York, New York"
"5","CUNY Hunter College","10021","New York","New York",2186,299,4,655,235,993,"New York, New York"
"6","Marymount Manhattan College","10021","New York","New York",69,5,1,3,16,44,"New York, New York"
"7","Barnard College","10027","New York","New York",439,16,1,136,33,253,"New York, New York"
"8","Columbia University in the City of New York","10027","New York","New York",2846,204,9,759,344,1530,"New York, New York"
"9","CUNY City College","10031","New York","New York",2166,506,5,686,440,529,"New York, New York"
"10","Pace University New York Campus","10038","New York","New York",1268,207,5,163,138,755,"New York, New York"
"11","SUNY Maritime College","10465","New York","Bronx",488,21,1,30,45,391,"Bronx, New York"
"12","Monroe College","10468","New York","Bronx",1328,782,2,20,497,27,"Bronx, New York"
"13","SUNY Purchase College","10577","New York","Westchester",218,21,1,19,31,146,"Westchester, New York"
"14","Concordia College (Bronxville, NY)","10708","New York","Westchester",184,32,3,9,27,113,"Westchester, New York"
"15","Iona College","10801","New York","Westchester",312,16,1,11,43,241,"Westchester, New York"
"16","College of New Rochelle","10805","New York","Westchester",521,299,2,53,88,79,"Westchester, New York"
"17","United States Military Academy","10996","New York","Orange",2153,97,17,147,183,1709,"Orange, New York"
"18","United States Merchant Marine Academy","11024","New York","Nassau",473,8,2,21,20,422,"Nassau, New York"
"19","CUNY New York City Technical College","11201","New York","Kings",1476,611,2,308,284,271,"Kings, New York"
"20","St Francis College (Brooklyn, NY)","11201","New York","Kings",306,98,2,23,53,130,"Kings, New York"
"21","Polytechnic University","11201","New York","Kings",1150,142,2,470,139,397,"Kings, New York"
"22","Long Island University Brooklyn Campus","11201","New York","Kings",1664,570,5,387,178,524,"Kings, New York"
"23","SUNY Health Science Center at Brooklyn","11203","New York","Kings",871,333,1,108,56,373,"Kings, New York"
"24","St Joseph's College, Main Campus","11205","New York","Kings",740,295,7,51,61,326,"Kings, New York"
"25","College of Aeronautics","11371","New York","Queens",99,23,2,26,30,18,"Queens, New York"
"26","St John's University (Jamaica, NY)","11439","New York","Queens",2019,351,4,552,304,808,"Queens, New York"
"27","CUNY York College","11451","New York","Queens",1161,642,3,230,137,149,"Queens, New York"
"28","Adelphi University","11530","New York","Nassau",1807,381,2,265,134,1025,"Nassau, New York"
"29","Long Island University C W Post Campus","11548","New York","Nassau",730,92,2,87,64,485,"Nassau, New York"
"30","Hofstra University","11550","New York","Nassau",1006,100,3,74,91,738,"Nassau, New York"
"31","New York Institute of Technology, Main Campus","11568","New York","Nassau",932,111,2,418,84,317,"Nassau, New York"
"32","SUNY College at Old Westbury","11568","New York","Nassau",213,71,2,46,37,57,"Nassau, New York"
"33","Molloy College","11570","New York","Nassau",1606,340,5,162,155,944,"Nassau, New York"
"34","SUNY at Farmingdale","11735","New York","Nassau",1329,208,4,161,206,750,"Nassau, New York"
"35","Dowling College","11769","New York","Suffolk",141,8,1,5,10,117,"Suffolk, New York"
"36","St Joseph's College, Suffolk Campus","11772","New York","Suffolk",84,16,2,5,3,58,"Suffolk, New York"
"37","SUNY at Stony Brook, All Campuses","11794","New York","Suffolk",6591,677,13,2546,578,2777,"Suffolk, New York"
"38","Russell Sage College, All Campuses","12180","New York","Rensselaer",605,48,3,25,14,515,"Rensselaer, New York"
"39","Rensselaer Polytechnic Institute","12180","New York","Rensselaer",4677,119,12,532,281,3733,"Rensselaer, New York"
"40","Regents College, Univ of the State of New York","12203","New York","Albany",2092,237,9,82,115,1649,"Albany, New York"
"41","Siena College (Loudonville, NY)","12211","New York","Albany",630,18,2,47,19,544,"Albany, New York"
"42","SUNY at Albany","12222","New York","Albany",1799,200,2,204,134,1259,"Albany, New York"
"43","Mount St Mary College (Newburgh, NY)","12550","New York","Orange",696,59,3,29,74,531,"Orange, New York"
"44","State University of New York at New Platz","12561","New York","Ulster",679,63,2,68,56,490,"Ulster, New York"
"45","Marist College","12601","New York","Dutchess",554,12,1,20,29,492,"Dutchess, New York"
"46","Vassar College","12601","New York","Dutchess",552,26,1,71,40,414,"Dutchess, New York"
"47","Skidmore College","12866","New York","Saratoga",522,12,4,46,25,435,"Saratoga, New York"
"48","SUNY Empire State College","12866","New York","Saratoga",462,33,6,14,25,384,"Saratoga, New York"
"49","SUNY College at Plattsburgh","12901","New York","Clinton",1023,57,5,35,34,892,"Clinton, New York"
"50","SUNY College at Cortland","13045","New York","Cortland",1073,33,6,16,49,969,"Cortland, New York"
"51","SUNY College at Oswego","13126","New York","Oswego",726,22,2,13,45,644,"Oswego, New York"
"52","SUNY Health Science Center at Syracuse","13210","New York","Onondaga",537,40,2,26,14,455,"Onondaga, New York"
"53","Syracuse University, Main Campus","13210","New York","Onondaga",2700,269,29,384,202,1816,"Onondaga, New York"
"54","SUNY College of Environmental Sci & Forestry","13210","New York","Onondaga",1414,13,11,43,52,1295,"Onondaga, New York"
"55","Le Moyne College","13214","New York","Onondaga",585,15,2,14,13,541,"Onondaga, New York"
"56","Hamilton College","13323","New York","Oneida",500,8,3,45,14,430,"Oneida, New York"
"57","Colgate University","13346","New York","Madison",682,7,2,47,40,586,"Madison, New York"
"58","SUNY College of Agriculture & Tech Morrisville","13408","New York","Madison",296,18,3,1,10,264,"Madison, New York"
"59","Utica College of Syracuse University","13502","New York","Oneida",896,105,2,29,31,729,"Oneida, New York"
"60","SUNY Institute of Technology at Utica/Rome","13504","New York","Oneida",1118,86,3,35,25,969,"Oneida, New York"
"61","SUNY College of Technology at Canton","13617","New York","St Lawrence",235,33,1,7,8,186,"St Lawrence, New York"
"62","St Lawrence University","13617","New York","St Lawrence",591,11,2,13,18,547,"St Lawrence, New York"
"63","Clarkson University","13676","New York","St Lawrence",2149,38,10,63,50,1988,"St Lawrence, New York"
"64","SUNY College at Potsdam","13676","New York","St Lawrence",484,13,6,7,9,449,"St Lawrence, New York"
"65","SUNY College of Technology at Delhi","13753","New York","Delaware",152,23,2,6,9,112,"Delaware, New York"
"66","SUNY College at Oneonta","13820","New York","Otsego",903,25,2,17,40,819,"Otsego, New York"
"67","Hartwick College","13820","New York","Otsego",319,15,2,12,15,275,"Otsego, New York"
"68","SUNY at Binghamton","13902","New York","Broome",3631,194,7,692,197,2541,"Broome, New York"
"69","SUNY College at Fredonia","14063","New York","Chautauqua",715,10,3,21,9,672,"Chautauqua, New York"
"70","Niagara University","14109","New York","Niagara",290,17,2,4,9,258,"Niagara, New York"
"71","D'Youville College","14201","New York","Erie",971,96,11,38,35,791,"Erie, New York"
"72","Canisius College","14208","New York","Erie",403,8,3,13,6,373,"Erie, New York"
"73","Medaille College","14214","New York","Erie",204,6,4,5,2,187,"Erie, New York"
"74","SUNY College at Buffalo","14222","New York","Erie",820,81,3,23,48,665,"Erie, New York"
"75","Daemen College","14226","New York","Erie",741,47,4,14,17,659,"Erie, New York"
"76","SUNY at Buffalo","14260","New York","Erie",5352,293,25,727,239,4068,"Erie, New York"
"77","SUNY College at Brockport","14420","New York","Monroe",1900,121,5,41,48,1685,"Monroe, New York"
"78","SUNY College at Geneseo","14454","New York","Livingston",1148,13,1,81,21,1032,"Livingston, New York"
"79","Hobart William Smith Colleges","14456","New York","Ontario",349,5,1,21,10,312,"Ontario, New York"
"80","Keuka College","14478","New York","Yates",649,17,4,8,10,610,"Yates, New York"
"81","Nazareth College of Rochester","14618","New York","Monroe",704,40,2,19,22,621,"Monroe, New York"
"82","St John Fisher College","14618","New York","Monroe",910,36,4,26,18,826,"Monroe, New York"
"83","Rochester Institute of Technology","14623","New York","Monroe",5880,201,32,368,194,5085,"Monroe, New York"
"84","Roberts Wesleyan College","14624","New York","Monroe",522,49,1,6,15,451,"Monroe, New York"
"85","University of Rochester","14627","New York","Monroe",2700,104,9,442,121,2024,"Monroe, New York"
"86","St Bonaventure University","14778","New York","Cattaraugus",142,2,2,33,2,103,"Cattaraugus, New York"
"87","Ithaca College","14850","New York","Tompkins",1413,28,4,66,50,1265,"Tompkins, New York"
"88","Cornell University, All Campuses","14853","New York","Tompkins",6132,273,24,1468,424,3943,"Tompkins, New York"
"89","Robert Morris College (Coraopolis, PA)","15108","Pennsylvania","Allegheny",708,32,1,10,8,657,"Allegheny, Pennsylvania"
"90","Carlow College","15213","Pennsylvania","Allegheny",575,42,4,9,6,514,"Allegheny, Pennsylvania"
"91","Carnegie Mellon University","15213","Pennsylvania","Allegheny",2829,124,14,964,181,1546,"Allegheny, Pennsylvania"
"92","Art Institute of Pittsburgh","15222","Pennsylvania","Allegheny",245,25,2,7,12,199,"Allegheny, Pennsylvania"
"93","Point Park College","15222","Pennsylvania","Allegheny",350,50,1,4,3,292,"Allegheny, Pennsylvania"
"94","Chatham College","15232","Pennsylvania","Allegheny",337,24,1,5,7,300,"Allegheny, Pennsylvania"
"95","La Roche College","15237","Pennsylvania","Allegheny",210,5,1,1,4,199,"Allegheny, Pennsylvania"
"96","University of Pittsburgh Main Campus","15260","Pennsylvania","Allegheny",7330,360,7,465,95,6403,"Allegheny, Pennsylvania"
"97","Duquesne University","15282","Pennsylvania","Allegheny",1905,49,1,35,29,1791,"Allegheny, Pennsylvania"
"98","Waynesburg College","15370","Pennsylvania","Greene",859,16,1,3,4,835,"Greene, Pennsylvania"
"99","California University of Pennsylvania","15419","Pennsylvania","Washington",1548,55,2,5,16,1470,"Washington, Pennsylvania"
"100","Seton Hill College","15601","Pennsylvania","Westmoreland",261,11,1,3,4,242,"Westmoreland, Pennsylvania"
"101","St Vincent College and Seminary","15650","Pennsylvania","Westmoreland",404,5,1,5,5,388,"Westmoreland, Pennsylvania"
"102","Indiana University of PA, All Campuses","15705","Pennsylvania","Indiana",1575,59,6,26,23,1461,"Indiana, Pennsylvania"
"103","St Francis College (Loretto, PA)","15940","Pennsylvania","Cambria",773,7,1,7,7,751,"Cambria, Pennsylvania"
"104","Slippery Rock University of Pennsylvania","16057","Pennsylvania","Butler",1570,61,2,12,19,1476,"Butler, Pennsylvania"
"105","Clarion University of PA, All Campuses","16214","Pennsylvania","Clarion",1177,31,1,11,8,1126,"Clarion, Pennsylvania"
"106","Allegheny College","16335","Pennsylvania","Crawford",981,15,2,31,17,916,"Crawford, Pennsylvania"
"107","Gannon University","16541","Pennsylvania","Erie",1301,26,3,20,15,1237,"Erie, Pennsylvania"
"108","Pennsylvania State U at Erie-Behrend College","16563","Pennsylvania","Erie",1417,20,2,28,16,1351,"Erie, Pennsylvania"
"109","Pennsylvania State U, Altoona Campus","16601","Pennsylvania","Blair",409,7,2,4,10,386,"Blair, Pennsylvania"
"110","Pennsylvania State U, Main Campus","16802","Pennsylvania","Centre",19454,649,16,1279,686,16824,"Centre, Pennsylvania"
"111","Mansfield University of Pennsylvania","16933","Pennsylvania","Tioga",508,24,1,10,7,466,"Tioga, Pennsylvania"
"112","Lebanon Valley College","17003","Pennsylvania","Lebanon",539,4,2,12,8,513,"Lebanon, Pennsylvania"
"113","Elizabethtown College","17022","Pennsylvania","Lancaster",625,8,1,21,5,590,"Lancaster, Pennsylvania"
