"","county","state","county_12th_hispanic","county_12th_white","county_12th_black","county_12th_native","county_12th_asianPI","id","total"
"3225","Universe: (COMPONENT in (00)) AND (((SUMLEVEL in (50))))","",NA,NA,NA,NA,NA,"Universe: (COMPONENT in (00)) AND (((SUMLEVEL in (50)))),",NA
"3226","Weight used: ","",NA,NA,NA,NA,NA,"Weight used: ,",NA
"3227","DataSet(s) selected: 2009-2013","",NA,NA,NA,NA,NA,"DataSet(s) selected: 2009-2013,",NA
"3228","Source: ACS 5-Year Summary File","",NA,NA,NA,NA,NA,"Source: ACS 5-Year Summary File,",NA
"1","Autauga"," Alabama",0,527,265,0,35,"Autauga, Alabama",827
"2","Baldwin"," Alabama",328,1983,539,0,66,"Baldwin, Alabama",2916
"3","Barbour"," Alabama",8,137,142,0,0,"Barbour, Alabama",287
"4","Bibb"," Alabama",4,230,74,0,0,"Bibb, Alabama",308
"5","Blount"," Alabama",150,674,0,3,0,"Blount, Alabama",827
"6","Bullock"," Alabama",0,11,58,0,0,"Bullock, Alabama",69
"7","Butler"," Alabama",0,167,128,0,0,"Butler, Alabama",295
"8","Calhoun"," Alabama",34,920,359,0,0,"Calhoun, Alabama",1313
"9","Chambers"," Alabama",0,183,123,0,0,"Chambers, Alabama",306
"10","Cherokee"," Alabama",0,325,4,0,0,"Cherokee, Alabama",329
"11","Chilton"," Alabama",32,405,73,0,0,"Chilton, Alabama",510
"12","Choctaw"," Alabama",0,126,86,0,0,"Choctaw, Alabama",212
"13","Clarke"," Alabama",0,189,432,0,0,"Clarke, Alabama",621
"14","Clay"," Alabama",0,137,14,0,0,"Clay, Alabama",151
"15","Cleburne"," Alabama",0,192,0,0,0,"Cleburne, Alabama",192
"16","Coffee"," Alabama",4,542,190,22,10,"Coffee, Alabama",768
"17","Colbert"," Alabama",15,584,202,23,0,"Colbert, Alabama",824
"18","Conecuh"," Alabama",0,90,44,0,0,"Conecuh, Alabama",134
"19","Coosa"," Alabama",0,113,82,0,0,"Coosa, Alabama",195
"20","Covington"," Alabama",0,337,53,0,0,"Covington, Alabama",390
"21","Crenshaw"," Alabama",0,111,57,0,0,"Crenshaw, Alabama",168
"22","Cullman"," Alabama",129,935,38,0,0,"Cullman, Alabama",1102
"23","Dale"," Alabama",78,364,195,0,10,"Dale, Alabama",647
"24","Dallas"," Alabama",0,119,541,0,0,"Dallas, Alabama",660
"25","DeKalb"," Alabama",102,897,41,16,0,"DeKalb, Alabama",1056
"26","Elmore"," Alabama",29,694,532,9,16,"Elmore, Alabama",1280
"27","Escambia"," Alabama",0,423,271,46,0,"Escambia, Alabama",740
"28","Etowah"," Alabama",62,975,236,0,28,"Etowah, Alabama",1301
"29","Fayette"," Alabama",0,214,0,0,0,"Fayette, Alabama",214
"30","Franklin"," Alabama",36,310,12,0,0,"Franklin, Alabama",358
"31","Geneva"," Alabama",20,344,47,0,0,"Geneva, Alabama",411
"32","Greene"," Alabama",0,0,192,0,0,"Greene, Alabama",192
"33","Hale"," Alabama",0,76,69,0,0,"Hale, Alabama",145
"34","Henry"," Alabama",0,117,136,0,0,"Henry, Alabama",253
"35","Houston"," Alabama",35,690,518,3,28,"Houston, Alabama",1274
"36","Jackson"," Alabama",67,786,60,22,1,"Jackson, Alabama",936
"37","Jefferson"," Alabama",229,3834,4649,32,56,"Jefferson, Alabama",8800
"38","Lamar"," Alabama",0,58,14,0,0,"Lamar, Alabama",72
"39","Lauderdale"," Alabama",33,963,115,13,0,"Lauderdale, Alabama",1124
"40","Lawrence"," Alabama",0,362,56,54,0,"Lawrence, Alabama",472
"41","Lee"," Alabama",128,804,682,47,26,"Lee, Alabama",1687
"42","Limestone"," Alabama",8,724,240,0,7,"Limestone, Alabama",979
"43","Lowndes"," Alabama",0,40,153,0,0,"Lowndes, Alabama",193
"44","Macon"," Alabama",12,39,197,0,0,"Macon, Alabama",248
"45","Madison"," Alabama",135,2301,1055,73,56,"Madison, Alabama",3620
"46","Marengo"," Alabama",24,94,169,0,0,"Marengo, Alabama",287
"47","Marion"," Alabama",10,285,10,0,0,"Marion, Alabama",305
"48","Marshall"," Alabama",85,885,32,19,10,"Marshall, Alabama",1031
"49","Mobile"," Alabama",156,2413,2435,8,58,"Mobile, Alabama",5070
"50","Monroe"," Alabama",0,103,148,0,0,"Monroe, Alabama",251
"51","Montgomery"," Alabama",54,752,2124,0,102,"Montgomery, Alabama",3032
"52","Morgan"," Alabama",25,1183,223,37,17,"Morgan, Alabama",1485
"53","Perry"," Alabama",6,0,98,0,0,"Perry, Alabama",104
"54","Pickens"," Alabama",40,169,121,0,0,"Pickens, Alabama",330
"55","Pike"," Alabama",0,116,202,4,0,"Pike, Alabama",322
"56","Randolph"," Alabama",0,191,81,0,0,"Randolph, Alabama",272
"57","Russell"," Alabama",17,318,342,0,0,"Russell, Alabama",677
"58","St. Clair"," Alabama",21,947,51,0,6,"St. Clair, Alabama",1025
"59","Shelby"," Alabama",180,2315,541,0,44,"Shelby, Alabama",3080
"60","Sumter"," Alabama",0,88,113,0,0,"Sumter, Alabama",201
"61","Talladega"," Alabama",12,629,414,0,0,"Talladega, Alabama",1055
"62","Tallapoosa"," Alabama",0,425,98,11,0,"Tallapoosa, Alabama",534
"63","Tuscaloosa"," Alabama",59,1087,1137,0,13,"Tuscaloosa, Alabama",2296
"64","Walker"," Alabama",8,513,32,11,31,"Walker, Alabama",595
"65","Washington"," Alabama",0,128,176,35,0,"Washington, Alabama",339
"66","Wilcox"," Alabama",0,48,256,0,0,"Wilcox, Alabama",304
"67","Winston"," Alabama",0,362,24,0,0,"Winston, Alabama",386
"68","Aleutians East Borough"," Alaska",0,4,0,18,0,"Aleutians East Borough, Alaska",22
"69","Aleutians West Census Area"," Alaska",0,12,0,12,54,"Aleutians West Census Area, Alaska",78
"70","Anchorage Municipality"," Alaska",415,2337,368,489,807,"Anchorage Municipality, Alaska",4416
"71","Bethel Census Area"," Alaska",2,4,1,331,0,"Bethel Census Area, Alaska",338
"72","Bristol Bay Borough"," Alaska",5,1,0,6,1,"Bristol Bay Borough, Alaska",13
"73","Denali Borough"," Alaska",0,19,0,9,0,"Denali Borough, Alaska",28
"74","Dillingham Census Area"," Alaska",0,8,0,108,0,"Dillingham Census Area, Alaska",116
"75","Fairbanks North Star Borough"," Alaska",99,798,94,135,126,"Fairbanks North Star Borough, Alaska",1252
"76","Haines Borough"," Alaska",0,19,0,0,0,"Haines Borough, Alaska",19
"77","Hoonah-Angoon Census Area"," Alaska",0,4,0,17,0,"Hoonah-Angoon Census Area, Alaska",21
"78","Juneau City and Borough"," Alaska",71,324,0,160,56,"Juneau City and Borough, Alaska",611
"79","Kenai Peninsula Borough"," Alaska",38,851,0,137,22,"Kenai Peninsula Borough, Alaska",1048
"80","Ketchikan Gateway Borough"," Alaska",3,168,0,18,3,"Ketchikan Gateway Borough, Alaska",192
"81","Kodiak Island Borough"," Alaska",0,38,0,9,34,"Kodiak Island Borough, Alaska",81
"82","Lake and Peninsula Borough"," Alaska",1,9,0,43,0,"Lake and Peninsula Borough, Alaska",53
"83","Matanuska-Susitna Borough"," Alaska",105,1324,31,132,18,"Matanuska-Susitna Borough, Alaska",1610
"84","Nome Census Area"," Alaska",1,32,0,222,0,"Nome Census Area, Alaska",255
"85","North Slope Borough"," Alaska",29,0,1,67,5,"North Slope Borough, Alaska",102
"86","Northwest Arctic Borough"," Alaska",0,14,0,111,0,"Northwest Arctic Borough, Alaska",125
"87","Petersburg Census Area"," Alaska",0,33,0,3,2,"Petersburg Census Area, Alaska",38
"88","Petersburg Census Area"," Alaska",0,33,0,3,2,"Petersburg Census Area, Alaska",38
"89","Prince of Wales-Hyder Census Area"," Alaska",5,17,0,41,0,"Prince of Wales-Hyder Census Area, Alaska",63
"90","Prince of Wales-Hyder Census Area"," Alaska",5,17,0,41,0,"Prince of Wales-Hyder Census Area, Alaska",63
"91","Sitka City and Borough"," Alaska",0,105,1,35,0,"Sitka City and Borough, Alaska",141
"92","Skagway Municipality"," Alaska",0,5,0,0,0,"Skagway Municipality, Alaska",5
"93","Southeast Fairbanks Census Area"," Alaska",30,100,0,16,0,"Southeast Fairbanks Census Area, Alaska",146
"94","Valdez-Cordova Census Area"," Alaska",0,88,0,55,3,"Valdez-Cordova Census Area, Alaska",146
"95","Wade Hampton Census Area"," Alaska",0,0,0,198,7,"Wade Hampton Census Area, Alaska",205
"96","Wrangell City and Borough"," Alaska",0,14,0,6,0,"Wrangell City and Borough, Alaska",20
"97","Wrangell City and Borough"," Alaska",0,14,0,6,0,"Wrangell City and Borough, Alaska",20
"98","Yakutat City and Borough"," Alaska",0,1,0,0,0,"Yakutat City and Borough, Alaska",1
"99","Yukon-Koyukuk Census Area"," Alaska",0,6,0,67,0,"Yukon-Koyukuk Census Area, Alaska",73
"100","Apache"," Arizona",151,187,0,1271,0,"Apache, Arizona",1609
"101","Cochise"," Arizona",1157,786,214,89,0,"Cochise, Arizona",2246
"102","Coconino"," Arizona",108,800,48,918,9,"Coconino, Arizona",1883
"103","Gila"," Arizona",113,215,14,168,0,"Gila, Arizona",510
"104","Graham"," Arizona",79,216,0,160,0,"Graham, Arizona",455
"105","Greenlee"," Arizona",71,19,0,1,0,"Greenlee, Arizona",91
"106","La Paz"," Arizona",40,30,0,10,0,"La Paz, Arizona",80
"107","Maricopa"," Arizona",24834,25854,3843,1208,1839,"Maricopa, Arizona",57578
"108","Mohave"," Arizona",569,1522,3,53,4,"Mohave, Arizona",2151
"109","Navajo"," Arizona",343,729,31,1080,45,"Navajo, Arizona",2228
"110","Pima"," Arizona",7388,5403,545,876,260,"Pima, Arizona",14472
"111","Pinal"," Arizona",2015,2036,629,346,15,"Pinal, Arizona",5041
"112","Santa Cruz"," Arizona",1128,94,0,0,0,"Santa Cruz, Arizona",1222
"113","Yavapai"," Arizona",468,1586,20,92,7,"Yavapai, Arizona",2173
"114","Yuma"," Arizona",2872,591,212,62,12,"Yuma, Arizona",3749
"115","Arkansas"," Arkansas",35,132,110,0,0,"Arkansas, Arkansas",277
"116","Ashley"," Arkansas",29,183,154,0,0,"Ashley, Arkansas",366
"117","Baxter"," Arkansas",53,426,10,3,0,"Baxter, Arkansas",492
"118","Benton"," Arkansas",590,1942,77,22,32,"Benton, Arkansas",2663
"119","Boone"," Arkansas",14,492,0,7,0,"Boone, Arkansas",513
"120","Bradley"," Arkansas",26,129,32,0,0,"Bradley, Arkansas",187
"121","Calhoun"," Arkansas",0,43,6,0,0,"Calhoun, Arkansas",49
"122","Carroll"," Arkansas",12,228,4,0,0,"Carroll, Arkansas",244
"123","Chicot"," Arkansas",13,81,103,0,0,"Chicot, Arkansas",197
"124","Clark"," Arkansas",31,228,84,0,0,"Clark, Arkansas",343
"125","Clay"," Arkansas",0,173,0,0,0,"Clay, Arkansas",173
"126","Cleburne"," Arkansas",0,313,11,0,0,"Cleburne, Arkansas",324
"127","Cleveland"," Arkansas",0,161,21,0,0,"Cleveland, Arkansas",182
"128","Columbia"," Arkansas",62,114,188,0,0,"Columbia, Arkansas",364
"129","Conway"," Arkansas",0,199,52,0,0,"Conway, Arkansas",251
"130","Craighead"," Arkansas",40,581,167,0,9,"Craighead, Arkansas",797
"131","Crawford"," Arkansas",127,672,1,11,55,"Crawford, Arkansas",866
"132","Crittenden"," Arkansas",0,165,390,0,37,"Crittenden, Arkansas",592
"133","Cross"," Arkansas",0,125,92,0,0,"Cross, Arkansas",217
"134","Dallas"," Arkansas",0,56,40,0,0,"Dallas, Arkansas",96
"135","Desha"," Arkansas",19,72,115,0,0,"Desha, Arkansas",206
"136","Drew"," Arkansas",0,112,24,0,3,"Drew, Arkansas",139
"137","Faulkner"," Arkansas",67,965,185,11,63,"Faulkner, Arkansas",1291
"138","Franklin"," Arkansas",0,230,0,6,0,"Franklin, Arkansas",236
"139","Fulton"," Arkansas",0,95,0,0,0,"Fulton, Arkansas",95
"140","Garland"," Arkansas",41,661,156,0,23,"Garland, Arkansas",881
"141","Grant"," Arkansas",31,218,0,0,0,"Grant, Arkansas",249
"142","Greene"," Arkansas",0,577,4,0,0,"Greene, Arkansas",581
"143","Hempstead"," Arkansas",34,132,158,0,0,"Hempstead, Arkansas",324
"144","Hot Spring"," Arkansas",2,455,109,0,0,"Hot Spring, Arkansas",566
"145","Howard"," Arkansas",0,72,35,0,0,"Howard, Arkansas",107
"146","Independence"," Arkansas",51,302,52,0,0,"Independence, Arkansas",405
"147","Izard"," Arkansas",38,75,0,8,0,"Izard, Arkansas",121
"148","Jackson"," Arkansas",14,165,43,0,0,"Jackson, Arkansas",222
"149","Jefferson"," Arkansas",28,343,587,14,0,"Jefferson, Arkansas",972
"150","Johnson"," Arkansas",26,150,0,0,0,"Johnson, Arkansas",176
"151","Lafayette"," Arkansas",0,42,83,0,0,"Lafayette, Arkansas",125
"152","Lawrence"," Arkansas",1,262,0,0,0,"Lawrence, Arkansas",263
"153","Lee"," Arkansas",0,14,43,0,0,"Lee, Arkansas",57
"154","Lincoln"," Arkansas",19,89,91,8,0,"Lincoln, Arkansas",207
"155","Little River"," Arkansas",0,87,19,7,0,"Little River, Arkansas",113
"156","Logan"," Arkansas",85,369,0,31,0,"Logan, Arkansas",485
"157","Lonoke"," Arkansas",27,757,56,0,0,"Lonoke, Arkansas",840
"158","Madison"," Arkansas",24,166,0,0,0,"Madison, Arkansas",190
"159","Marion"," Arkansas",7,198,0,0,0,"Marion, Arkansas",205
"160","Miller"," Arkansas",21,270,152,0,0,"Miller, Arkansas",443
"161","Mississippi"," Arkansas",59,385,212,0,0,"Mississippi, Arkansas",656
"162","Monroe"," Arkansas",3,148,73,0,0,"Monroe, Arkansas",224
"163","Montgomery"," Arkansas",2,83,3,0,0,"Montgomery, Arkansas",88
"164","Nevada"," Arkansas",8,69,46,0,0,"Nevada, Arkansas",123
"165","Newton"," Arkansas",0,126,0,0,0,"Newton, Arkansas",126
"166","Ouachita"," Arkansas",2,237,258,0,0,"Ouachita, Arkansas",497
"167","Perry"," Arkansas",0,81,0,0,9,"Perry, Arkansas",90
"168","Phillips"," Arkansas",7,119,254,0,0,"Phillips, Arkansas",380
"169","Pike"," Arkansas",0,135,8,0,0,"Pike, Arkansas",143
"170","Poinsett"," Arkansas",22,234,28,0,0,"Poinsett, Arkansas",284
"171","Polk"," Arkansas",31,225,1,4,0,"Polk, Arkansas",261
"172","Pope"," Arkansas",202,856,22,16,0,"Pope, Arkansas",1096
"173","Prairie"," Arkansas",5,56,15,0,0,"Prairie, Arkansas",76
"174","Pulaski"," Arkansas",262,2197,2423,37,149,"Pulaski, Arkansas",5068
"175","Randolph"," Arkansas",0,281,0,0,0,"Randolph, Arkansas",281
"176","St. Francis"," Arkansas",25,112,362,0,0,"St. Francis, Arkansas",499
"177","Saline"," Arkansas",89,1140,48,18,0,"Saline, Arkansas",1295
"178","Scott"," Arkansas",9,53,0,0,0,"Scott, Arkansas",62
"179","Searcy"," Arkansas",0,90,0,0,0,"Searcy, Arkansas",90
"180","Sebastian"," Arkansas",398,1186,243,25,45,"Sebastian, Arkansas",1897
"181","Sevier"," Arkansas",29,95,16,35,0,"Sevier, Arkansas",175
"182","Sharp"," Arkansas",25,208,0,0,0,"Sharp, Arkansas",233
"183","Stone"," Arkansas",4,183,0,0,0,"Stone, Arkansas",187
"184","Union"," Arkansas",25,183,257,0,0,"Union, Arkansas",465
"185","Van Buren"," Arkansas",32,98,0,0,0,"Van Buren, Arkansas",130
"186","Washington"," Arkansas",671,1887,68,31,169,"Washington, Arkansas",2826
"187","White"," Arkansas",80,629,97,0,0,"White, Arkansas",806
"188","Woodruff"," Arkansas",6,68,31,0,0,"Woodruff, Arkansas",105
"189","Yell"," Arkansas",71,292,0,0,13,"Yell, Arkansas",376
"190","Alameda"," California",6304,5469,3469,109,4991,"Alameda, California",20342
"191","Alpine"," California",0,13,0,3,0,"Alpine, California",16
"192","Amador"," California",284,563,84,24,18,"Amador, California",973
"193","Butte"," California",675,1835,28,14,315,"Butte, California",2867
"194","Calaveras"," California",116,437,0,0,0,"Calaveras, California",553
"195","Colusa"," California",308,103,5,0,0,"Colusa, California",416
"196","Contra Costa"," California",5855,6352,1890,121,1868,"Contra Costa, California",16086
"197","Del Norte"," California",115,153,81,79,21,"Del Norte, California",449
"198","El Dorado"," California",561,1922,20,34,181,"El Dorado, California",2718
"199","Fresno"," California",10755,3672,1083,152,2305,"Fresno, California",17967
"200","Glenn"," California",427,185,3,0,31,"Glenn, California",646
"201","Humboldt"," California",272,1025,40,170,110,"Humboldt, California",1617
"202","Imperial"," California",3164,200,169,53,73,"Imperial, California",3659
"203","Inyo"," California",87,70,0,39,0,"Inyo, California",196
