"","school","city","state","zip","total STEM degrees","total degrees Black","total degrees Native","total degrees AsianPI","total degrees Hispanic","total degrees White"
"965","University of Phoenix (Phoenix, AZ)","","","",25874,4969,291,1634,2624,16356
"622","Pennsylvania State U, Main Campus","University Pk","Pennsylvania","16802",19454,649,16,1279,686,16824
"822","Texas A&M University Main Campus","College Station","Texas","77843",16379,351,75,1009,2375,12569
"886","University of Florida","Gainesville","Florida","32611",15164,1145,58,1632,2367,9962
"591","Ohio State University, Main Campus","Columbus","Ohio","43210",15056,683,41,1108,379,12845
"640","Purdue University, Main Campus","W Lafayette","Indiana","47907",14071,323,65,949,371,12363
"899","University of Illinois at Urbana-Champaign","Champaign","Illinois","61820",13680,544,31,2451,741,9913
"1016","University of Washington - Seattle","Seattle","Washington","98195",13599,447,132,4286,647,8087
"997","University of Texas at Austin","Austin","Texas","78712",12940,411,62,3401,2047,7019
"501","Michigan State University","East Lansing","Michigan","48824",12890,496,72,826,267,11229
"872","University of Central Florida","Orlando","Florida","32816",12687,1319,57,1081,2067,8163
"864","University of California-Davis","Davis","California","95616",12307,255,67,5928,1248,4809
"863","University of California-Berkeley","Berkeley","California","94720",12226,198,49,7306,956,3717
"561","North Carolina State University at Raleigh","Raleigh","North Carolina","27695",11921,744,56,840,318,9963
"21","Arizona State University Main","Tempe","Arizona","85287",11787,341,192,1177,1700,8377
"928","University of Minnesota - Twin Cities","Minneapolis","Minnesota","55455",11783,482,37,1219,221,9824
"868","University of California-San Diego","La Jolla","California","92093",11513,143,41,6853,1088,3388
"1021","University of Wisconsin-Madison","Madison","Wisconsin","53706",11314,175,48,790,264,10037
"923","University of Michigan at Ann Arbor","Ann Arbor","Michigan","48109",10793,366,26,1789,424,8188
"679","Rutgers the State Univ of NJ New Brunswick","New Brunswick","New Jersey","8903",10238,783,12,3372,783,5288
"1044","Virginia Polytechnic Institute and State Univ","Blacksburg","Virginia","24061",10127,330,24,1037,317,8419
"912","University of Maryland at College Park","College Park","Maryland","20742",10017,957,22,2214,520,6304
"865","University of California-Irvine","Irvine","California","92717",10012,195,32,6501,1036,2248
"866","University of California-Los Angeles","Los Angeles","California","90024",9984,196,33,5724,965,3066
"826","Texas Tech University","Lubbock","Texas","79409",9698,674,61,477,1428,7058
"307","Georgia Institute of Technology, Main Campus","Atlanta","Georgia","30332",9513,618,12,1873,566,6444
"95","Brigham Young University, Main Campus","Provo","Utah","84602",9125,21,35,234,358,8477
"983","University of South Florida","Tampa","Florida","33620",8919,935,33,1033,1374,5544
"996","University of Texas at Arlington","Arlington","Texas","76019",8655,1331,30,1223,1187,4884
"592","Ohio University, All Campuses","Athens","Ohio","45701",8280,401,34,82,123,7640
"375","Iowa State University","Ames","Iowa","50011",8278,137,27,268,214,7632
"858","University of Arizona","Tucson","Arizona","85721",8193,237,111,892,1322,5631
"287","Florida State University","Tallahassee","Florida","32306",7449,754,52,407,996,5240
"966","University of Pittsburgh Main Campus","Pittsburgh","Pennsylvania","15260",7330,360,7,465,95,6403
"875","University of Cincinnati, All Campuses","Cincinnati","Ohio","45221",7212,505,25,295,138,6249
"932","University of Missouri, Columbia","Columbia","Missouri","65211",7203,332,39,245,121,6466
"876","University of Colorado at Boulder","Boulder","Colorado","80309",7190,79,48,653,427,5983
"285","Florida International University","Miami","Florida","33199",6869,887,10,421,4651,900
"35","Auburn University, Main Campus","Auburn Univ","Alabama","36849",6863,424,42,147,102,6148
"879","University of Connecticut (Storrs, CT)","","","",6817,306,25,938,357,5191
"161","Clemson University","Clemson","South Carolina","29634",6674,414,27,170,111,5952
"916","University of Massachusetts at Amherst","Amherst","Massachusetts","1003",6638,282,15,744,293,5304
"788","SUNY at Stony Brook, All Campuses","Stony Brook","New York","11794",6591,677,13,2546,578,2777
"247","Drexel University","Philadelphia","Pennsylvania","19104",6576,628,12,1013,272,4651
"193","Colorado State University","Fort Collins","Colorado","80523",6504,66,48,172,387,5831
"1071","West Virginia University","Morgantown","West Virginia","26506",6344,106,22,155,93,5968
"606","Oregon State University","Corvallis","Oregon","97331",6342,47,78,599,251,5367
"887","University of Georgia","Athens","Georgia","30602",6272,403,11,771,186,4901
"1013","University of Utah","Salt Lake City","Utah","84112",6272,58,39,400,272,5503
"108","California State Polytechnic U-San Luis Obispo","Sn Luis Obispo","California","93407",6219,59,53,898,713,4496
"1056","Washington State University (Pullman, WA)","","","",6179,102,77,440,302,5258
"210","Cornell University, All Campuses","Ithaca","New York","14853",6132,273,24,1468,424,3943
"897","University of Illinois at Chicago","Chicago","Illinois","60680",6042,361,13,1995,649,3024
"252","East Carolina University","Greenville","North Carolina","27858",6035,783,53,206,134,4859
"895","University of Houston","Houston","Texas","77004",6013,723,20,1870,1354,2046
"667","Rochester Institute of Technology","Rochester","New York","14623",5880,201,32,368,194,5085
"993","University of Tennessee at Knoxville","Knoxville","Tennessee","37996",5815,376,14,209,98,5118
"364","Indiana University at Bloomington","Bloomington","Indiana","47405",5813,244,13,392,156,5008
"724","Southern Illinois University-Carbondale","Carbondale","Illinois","62901",5765,708,23,175,271,4588
"321","Grand Valley State University","Allendale","Michigan","49401",5567,167,28,174,158,5040
"320","Grand Canyon University","Phoenix","Arizona","85017",5563,654,40,1154,514,3201
"448","Louisiana State Univ & Agric & Mechanical Col","Baton Rouge","Louisiana","70803",5555,390,21,334,199,4611
"363","Indiana University-Purdue Univ at Indianapolis","Indianapolis","Indiana","46202",5519,417,11,255,150,4686
"116","California State University-Long Beach","Long Beach","California","90840",5506,200,149,2256,1135,1766
"950","University of North Carolina at Chapel Hill","Chapel Hill","North Carolina","27599",5480,413,30,667,319,4051
"406","Kansas State University","Manhattan","Kansas","66506",5474,84,23,76,223,5068
"786","SUNY at Buffalo","Buffalo","New York","14260",5352,293,25,727,239,4068
"870","University of California-Santa Cruz","Santa Cruz","California","95064",5230,109,53,1377,755,2936
"571","Northern Illinois University","Dekalb","Illinois","60115",5212,415,7,434,365,3991
"881","University of Delaware","Newark","Delaware","19716",5172,245,8,304,231,4384
"869","University of California-Santa Barbara","Santa Barbara","California","93106",5139,79,27,1098,777,3158
"1015","University of Virginia, Main Campus","Charlottesville","Virginia","22903",5135,308,9,984,187,3647
"411","Kent State University, All Campuses","Kent","Ohio","44242",5125,283,22,148,78,4594
"995","University of Texas - Pan American","Edinburg","Texas","78539",5121,30,2,94,4723,272
"598","Oklahoma State University, All Campuses","Stillwater","Oklahoma","74078",5108,125,420,109,164,4290
"813","Temple University","Philadelphia","Pennsylvania","19122",5043,813,30,1080,171,2949
"980","University of South Carolina at Columbia","Columbia","South Carolina","29208",5037,597,12,263,144,4021
"1043","Virginia Commonwealth University","Richmond","Virginia","23284",4969,774,20,1005,188,2982
"109","California State Polytechnic University Pomona","Pomona","California","91768",4943,157,26,1652,1400,1708
"599","Old Dominion University","Norfolk","Virginia","23529",4927,956,22,333,218,3398
"1011","University of Toledo","Toledo","Ohio","43606",4923,275,4,180,129,4335
"944","University of New Hampshire","Durham","New Hampshire","3824",4911,51,9,135,104,4612
"902","University of Kansas, Main Campus","Lawrence","Kansas","66045",4909,135,30,343,195,4206
"901","University of Iowa","Iowa City","Iowa","52242",4858,78,10,265,132,4373
"569","Northeastern University","Boston","Massachusetts","2115",4856,255,21,597,221,3762
"688","San Diego State University (San Diego, CA)","","","",4851,176,39,1260,1079,2297
"283","Florida Atlantic University","Boca Raton","Florida","33431",4824,1168,17,380,912,2347
"690","San Jose State University","San Jose","California","95192",4815,166,21,2404,736,1488
"951","University of North Carolina at Charlotte","Charlotte","North Carolina","28223",4815,550,26,311,211,3717
"570","Northern Arizona University","Flagstaff","Arizona","86011",4809,100,227,143,658,3681
"903","University of Kentucky","Lexington","Kentucky","40506",4796,198,7,167,56,4368
"735","Southwest Texas State University","San Marcos","Texas","78666",4779,252,31,152,1065,3279
"857","University of Alabama","Tuscaloosa","Alabama","35487",4777,451,26,67,103,4130
"1022","University of Wisconsin-Milwaukee","Milwaukee","Wisconsin","53201",4734,167,18,275,163,4111
"655","Rensselaer Polytechnic Institute","Troy","New York","12180",4677,119,12,532,281,3733
"938","University of Nebraska at Lincoln","Lincoln","Nebraska","68588",4646,52,14,177,136,4267
"716","South Dakota State University","Brookings","South Dakota","57007",4607,22,40,33,26,4486
"303","George Mason University","Fairfax","Virginia","22030",4540,474,18,1388,406,2254
"999","University of Texas at El Paso","El Paso","Texas","79968",4477,119,12,100,3709,537
"834","Towson State University","Towson","Maryland","21204",4457,681,18,267,144,3347
"1014","University of Vermont","Burlington","Vermont","5405",4448,49,14,118,113,4154
"357","Illinois State University","Normal","Illinois","61761",4435,160,12,88,149,4026
"854","University of Akron, All Campuses","Akron","Ohio","44325",4405,180,8,200,51,3966
"1001","University of Texas at San Antonio","San Antonio","Texas","78285",4344,291,16,386,1972,1679
"984","University of Southern California (CA)","","","",4306,154,2,1565,593,1992
"395","James Madison University","Harrisonburg","Virginia","22807",4293,161,13,335,105,3679
"1079","Western Michigan University","Kalamazoo","Michigan","49008",4252,206,19,106,127,3794
"867","University of California-Riverside","Riverside","California","92521",4250,238,12,2149,889,962
"934","University of Missouri, Rolla","Rolla","Missouri","65401",4202,194,26,113,86,3783
"400","Johns Hopkins University","Baltimore","Maryland","21218",4169,267,18,1182,317,2385
"913","University of Maryland Baltimore County","Baltimore","Maryland","21228",4139,687,13,1146,128,2165
"502","Michigan Technological University","Houghton","Michigan","49931",4130,47,25,54,63,3941
"84","Boston University","Boston","Massachusetts","2215",4128,149,17,1085,323,2554
"661","Ricks College","Rexburg","Idaho","83460",4096,16,18,62,135,3865
"111","California State University-Chico","Chico","California","95929",4064,56,48,338,522,3100
"586","Oakland University","Rochester Hills","Michigan","48309",4061,248,18,260,56,3479
