" ","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12"
"00601",0,397,0,0,0,0
"00602",38,565,12,0,0,0
"00603",21,746,0,0,0,0
"00606",0,93,3,0,0,0
"00610",0,391,25,0,0,0
"00612",10,1011,32,0,22,0
"00616",0,161,0,0,0,0
"00617",0,334,0,0,0,0
"00622",0,151,0,0,0,0
"00623",0,577,0,0,0,0
"00624",8,417,25,18,0,0
"00627",0,660,0,0,0,0
"00631",10,25,0,0,0,0
"00637",8,411,46,0,0,0
"00638",0,371,1,0,0,0
"00641",0,421,0,0,0,0
"00646",0,717,134,0,0,0
"00647",14,78,8,0,0,0
"00650",0,304,13,0,0,0
"00652",0,50,0,0,0,0
"00653",0,202,6,0,0,0
"00656",0,322,37,0,0,0
"00659",0,342,16,0,0,0
"00660",0,256,0,0,0,0
"00662",10,595,33,28,0,0
"00664",0,178,0,0,0,0
"00667",0,428,0,0,0,0
"00669",0,451,5,0,0,0
"00670",0,229,0,0,0,0
"00674",0,690,42,0,0,0
"00676",18,825,0,0,0,0
"00677",0,157,6,0,0,0
"00678",0,377,30,0,0,0
"00680",26,758,0,0,0,0
"00682",36,387,28,0,0,0
"00683",0,386,9,0,0,0
"00685",0,701,28,0,0,0
"00687",0,350,28,0,0,0
"00688",0,232,1,0,0,0
"00690",0,128,0,0,0,0
"00692",0,511,51,0,0,0
"00693",60,790,36,0,0,0
"00694",0,0,0,0,0,0
"00698",0,702,26,0,0,0
"00703",0,432,0,0,0,0
"00704",0,142,0,0,0,0
"00705",0,372,44,0,0,0
"00707",0,244,55,0,0,0
"00714",0,429,135,0,0,0
"00715",0,46,16,0,0,0
"00716",0,421,0,0,0,0
"00717",0,172,0,0,0,0
"00718",0,429,15,0,0,0
"00719",0,461,14,0,0,0
"00720",0,224,30,0,0,0
"00723",0,429,67,0,0,0
"00725",0,1353,118,0,0,0
"00727",0,939,85,24,0,0
"00728",0,577,36,0,0,0
"00729",0,706,106,0,0,0
"00730",0,604,15,0,0,0
"00731",0,278,8,0,0,0
"00735",0,245,11,0,23,0
"00736",0,533,0,0,0,0
"00738",0,441,30,0,0,0
"00739",6,437,22,11,0,0
"00740",0,36,11,0,0,0
"00741",0,54,11,0,0,0
"00745",0,756,157,0,0,0
"00751",0,570,0,0,0,0
"00754",0,672,45,0,0,0
"00757",0,545,32,0,0,0
"00765",0,25,12,0,0,0
"00766",0,312,9,0,0,0
"00767",0,718,94,0,0,0
"00769",0,595,17,0,0,0
"00771",0,726,28,0,0,0
"00772",0,187,61,0,0,0
"00773",0,330,11,0,0,0
"00775",0,15,0,0,0,0
"00777",0,654,10,0,0,0
"00778",15,748,69,0,0,0
"00780",0,254,0,0,0,0
"00782",0,237,22,0,0,0
"00783",0,441,0,0,0,0
"00784",0,1265,110,0,0,0
"00786",0,14,0,0,0,0
"00791",0,442,26,0,22,0
"00794",0,625,20,0,0,0
"00795",0,881,40,0,0,0
"00801",0,0,0,0,0,0
"00802",0,0,0,0,0,0
"00820",0,0,0,0,0,0
"00823",0,0,0,0,0,0
"00824",0,0,0,0,0,0
"00830",0,0,0,0,0,0
"00831",0,0,0,0,0,0
"00840",0,0,0,0,0,0
"00841",0,0,0,0,0,0
"00850",0,0,0,0,0,0
"00851",0,0,0,0,0,0
"00901",0,116,10,0,0,0
"00906",0,0,0,0,0,0
"00907",22,211,57,0,0,0
"00909",18,176,20,0,0,0
"00911",10,85,24,0,0,0
"00912",0,109,40,0,0,0
"00913",0,91,23,0,0,0
"00915",10,588,174,16,0,0
"00917",0,335,74,0,0,0
"00918",0,105,1,0,6,0
"00920",0,201,37,17,0,0
"00921",0,639,247,0,0,0
"00923",0,375,59,0,0,0
"00924",23,793,107,0,13,0
"00925",0,40,17,0,0,0
"00926",33,1356,81,0,0,0
"00927",0,206,19,0,0,0
"00934",0,0,0,0,0,0
"00936",0,0,0,0,0,0
"00949",0,1166,73,0,0,0
"00950",0,0,0,0,0,0
"00951",0,0,0,0,0,0
"00952",0,148,16,0,0,0
"00953",0,1437,94,9,0,0
"00956",0,1136,84,8,0,0
"00957",0,545,93,0,0,0
"00959",18,641,52,0,0,0
"00960",0,17,0,0,0,0
"00961",0,475,10,0,9,0
"00962",0,345,20,0,0,0
"00965",0,217,9,0,0,0
"00966",0,197,0,9,0,0
"00968",0,33,0,0,0,0
"00969",12,481,21,0,0,0
"00971",0,287,11,0,0,0
"00976",0,892,66,0,0,0
"00979",0,111,0,0,0,0
"00982",0,236,63,0,0,0
"00983",0,664,132,43,0,0
"00985",0,479,134,0,20,0
"00987",0,573,42,0,0,0
"01001",310,0,0,0,0,0
"01002",103,91,0,0,117,0
"01003",0,0,0,0,0,0
"01005",56,0,0,0,0,0
"01007",171,0,0,0,69,0
"01008",32,0,0,0,0,0
"01009",0,0,0,0,0,0
"01010",0,0,0,0,0,0
"01011",6,0,0,0,0,0
"01012",6,0,0,0,0,0
"01013",151,152,25,0,0,0
"01020",246,86,0,0,23,0
"01022",44,59,103,0,0,0
"01026",15,0,0,0,0,0
"01027",132,30,19,0,7,0
"01028",178,25,1,0,0,0
"01029",10,0,0,0,0,0
"01030",98,0,0,0,10,0
"01031",44,0,0,0,0,0
"01032",3,0,0,0,0,0
"01033",58,0,0,0,0,0
"01034",40,0,0,0,0,0
"01035",34,0,0,0,0,0
"01036",107,0,0,0,0,0
"01037",12,0,0,0,0,0
"01038",6,0,0,0,0,0
"01039",7,0,0,0,0,0
"01040",159,370,34,2,15,0
"01050",36,0,0,0,0,0
"01053",0,0,0,0,0,0
"01054",4,8,8,0,0,0
"01056",139,73,17,0,0,0
"01057",100,0,0,0,0,0
"01060",69,57,0,0,0,0
"01062",89,39,0,0,4,0
"01063",0,0,0,0,0,0
"01066",0,0,0,0,0,0
"01068",5,0,0,0,0,0
"01069",253,0,0,0,0,0
"01070",5,0,0,0,0,0
"01071",18,0,0,0,0,0
"01072",8,0,0,0,0,0
"01073",58,0,0,0,0,0
"01074",0,0,0,0,0,0
"01075",174,11,2,0,0,0
"01077",148,18,2,0,0,0
"01079",0,0,0,0,0,0
"01080",36,0,0,0,0,0
"01081",17,0,0,0,0,0
"01082",41,0,0,0,0,0
"01083",29,0,0,0,0,0
"01084",0,0,0,0,0,0
"01085",458,50,0,0,64,0
"01086",0,0,0,0,0,0
"01088",0,0,0,0,0,0
"01089",291,12,61,0,22,0
"01092",0,0,0,0,0,0
"01093",0,0,0,0,0,0
"01094",5,0,0,0,0,0
"01095",306,12,12,0,0,0
"01096",4,3,0,0,0,0
"01097",0,0,0,0,0,0
"01098",5,0,0,0,0,0
"01103",0,37,0,0,0,0
"01104",102,364,58,0,0,0
"01105",62,131,38,22,0,0
"01106",214,13,0,0,27,0
"01107",22,74,59,0,0,0
"01108",66,213,32,68,6,0
"01109",23,136,426,0,8,0
"01118",107,20,42,0,38,0
"01119",56,98,148,0,0,0
"01128",8,0,0,0,0,0
"01129",23,104,19,0,0,0
"01151",36,124,40,0,0,0
"01199",0,0,0,0,0,0
"01201",471,92,84,0,15,0
"01220",109,4,0,0,0,0
"01222",13,0,0,0,0,0
"01223",15,0,0,0,0,0
"01224",0,0,0,0,0,0
"01225",74,0,0,0,0,0
"01226",41,24,0,0,0,0
"01229",0,0,0,0,0,0
"01230",87,3,43,0,0,0
"01235",8,0,0,0,0,0
"01236",6,0,0,0,0,0
"01237",28,0,0,0,0,0
"01238",133,0,0,0,0,0
"01240",126,0,0,0,0,0
"01242",2,0,0,0,0,0
"01243",0,0,0,0,0,0
"01244",0,0,0,0,0,0
"01245",12,0,0,0,0,0
"01247",265,0,0,0,0,0
"01253",22,0,0,0,0,0
"01254",8,2,0,0,0,0
"01255",13,2,0,2,3,0
"01256",4,0,0,0,0,0
"01257",27,11,0,0,0,0
"01258",3,0,0,0,0,0
"01259",0,0,0,0,0,0
"01260",22,0,0,0,0,0
"01262",19,0,0,0,0,0
"01264",0,0,0,0,0,0
"01266",25,0,0,0,0,0
"01267",41,23,12,0,2,0
"01270",11,3,0,0,0,0
"01301",208,32,0,0,0,0
"01330",24,0,0,0,0,0
"01331",229,53,0,0,0,0
"01337",3,7,0,0,0,0
"01338",4,0,0,0,0,0
"01339",34,0,0,0,0,0
