 ,,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12
Autauga County, Alabama,0,527,265,0,35,0
Baldwin County, Alabama,328,1983,539,0,66,0
Barbour County, Alabama,8,137,142,0,0,0
Bibb County, Alabama,4,230,74,0,0,0
Blount County, Alabama,150,674,0,3,0,0
Bullock County, Alabama,0,11,58,0,0,0
Butler County, Alabama,0,167,128,0,0,0
Calhoun County, Alabama,34,920,359,0,0,0
Chambers County, Alabama,0,183,123,0,0,0
Cherokee County, Alabama,0,325,4,0,0,0
Chilton County, Alabama,32,405,73,0,0,0
Choctaw County, Alabama,0,126,86,0,0,0
Clarke County, Alabama,0,189,432,0,0,0
Clay County, Alabama,0,137,14,0,0,0
Cleburne County, Alabama,0,192,0,0,0,0
Coffee County, Alabama,4,542,190,22,10,0
Colbert County, Alabama,15,584,202,23,0,0
Conecuh County, Alabama,0,90,44,0,0,0
Coosa County, Alabama,0,113,82,0,0,0
Covington County, Alabama,0,337,53,0,0,0
Crenshaw County, Alabama,0,111,57,0,0,0
Cullman County, Alabama,129,935,38,0,0,0
Dale County, Alabama,78,364,195,0,10,0
Dallas County, Alabama,0,119,541,0,0,0
DeKalb County, Alabama,102,897,41,16,0,0
Elmore County, Alabama,29,694,532,9,16,0
Escambia County, Alabama,0,423,271,46,0,0
Etowah County, Alabama,62,975,236,0,28,0
Fayette County, Alabama,0,214,0,0,0,0
Franklin County, Alabama,36,310,12,0,0,0
Geneva County, Alabama,20,344,47,0,0,0
Greene County, Alabama,0,0,192,0,0,0
Hale County, Alabama,0,76,69,0,0,0
Henry County, Alabama,0,117,136,0,0,0
Houston County, Alabama,35,690,518,3,28,0
Jackson County, Alabama,67,786,60,22,1,0
Jefferson County, Alabama,229,3834,4649,32,56,0
Lamar County, Alabama,0,58,14,0,0,0
Lauderdale County, Alabama,33,963,115,13,0,0
Lawrence County, Alabama,0,362,56,54,0,0
Lee County, Alabama,128,804,682,47,26,0
Limestone County, Alabama,8,724,240,0,0,7
Lowndes County, Alabama,0,40,153,0,0,0
Macon County, Alabama,12,39,197,0,0,0
Madison County, Alabama,135,2301,1055,73,41,15
Marengo County, Alabama,24,94,169,0,0,0
Marion County, Alabama,10,285,10,0,0,0
Marshall County, Alabama,85,885,32,19,10,0
Mobile County, Alabama,156,2413,2435,8,58,0
Monroe County, Alabama,0,103,148,0,0,0
Montgomery County, Alabama,54,752,2124,0,102,0
Morgan County, Alabama,25,1183,223,37,0,17
Perry County, Alabama,6,0,98,0,0,0
Pickens County, Alabama,40,169,121,0,0,0
Pike County, Alabama,0,116,202,4,0,0
Randolph County, Alabama,0,191,81,0,0,0
Russell County, Alabama,17,318,342,0,0,0
St. Clair County, Alabama,21,947,51,0,6,0
Shelby County, Alabama,180,2315,541,0,44,0
Sumter County, Alabama,0,88,113,0,0,0
Talladega County, Alabama,12,629,414,0,0,0
Tallapoosa County, Alabama,0,425,98,11,0,0
Tuscaloosa County, Alabama,59,1087,1137,0,13,0
Walker County, Alabama,8,513,32,11,31,0
Washington County, Alabama,0,128,176,35,0,0
Wilcox County, Alabama,0,48,256,0,0,0
Winston County, Alabama,0,362,24,0,0,0
Aleutians East Borough, Alaska,0,4,0,18,0,0
Aleutians West Census Area, Alaska,0,12,0,12,44,10
Anchorage Municipality, Alaska,415,2337,368,489,639,168
Bethel Census Area, Alaska,2,4,1,331,0,0
Bristol Bay Borough, Alaska,5,1,0,6,1,0
Denali Borough, Alaska,0,19,0,9,0,0
Dillingham Census Area, Alaska,0,8,0,108,0,0
Fairbanks North Star Borough, Alaska,99,798,94,135,113,13
Haines Borough, Alaska,0,19,0,0,0,0
Hoonah-Angoon Census Area, Alaska,0,4,0,17,0,0
Juneau City and Borough, Alaska,71,324,0,160,56,0
Kenai Peninsula Borough, Alaska,38,851,0,137,15,7
Ketchikan Gateway Borough, Alaska,3,168,0,18,3,0
Kodiak Island Borough, Alaska,0,38,0,9,34,0
Lake and Peninsula Borough, Alaska,1,9,0,43,0,0
Matanuska-Susitna Borough, Alaska,105,1324,31,132,9,9
Nome Census Area, Alaska,1,32,0,222,0,0
North Slope Borough, Alaska,29,0,1,67,5,0
Northwest Arctic Borough, Alaska,0,14,0,111,0,0
Petersburg Census Area, Alaska,0,33,0,3,0,2
Petersburg Census Area, Alaska,0,33,0,3,0,2
Prince of Wales-Hyder Census Area, Alaska,5,17,0,41,0,0
Prince of Wales-Hyder Census Area, Alaska,5,17,0,41,0,0
Sitka City and Borough, Alaska,0,105,1,35,0,0
Skagway Municipality, Alaska,0,5,0,0,0,0
Southeast Fairbanks Census Area, Alaska,30,100,0,16,0,0
Valdez-Cordova Census Area, Alaska,0,88,0,55,3,0
Wade Hampton Census Area, Alaska,0,0,0,198,0,7
Wrangell City and Borough, Alaska,0,14,0,6,0,0
Wrangell City and Borough, Alaska,0,14,0,6,0,0
Yakutat City and Borough, Alaska,0,1,0,0,0,0
Yukon-Koyukuk Census Area, Alaska,0,6,0,67,0,0
Apache County, Arizona,151,187,0,1271,0,0
Cochise County, Arizona,1157,786,214,89,0,0
Coconino County, Arizona,108,800,48,918,9,0
Gila County, Arizona,113,215,14,168,0,0
Graham County, Arizona,79,216,0,160,0,0
Greenlee County, Arizona,71,19,0,1,0,0
La Paz County, Arizona,40,30,0,10,0,0
Maricopa County, Arizona,24834,25854,3843,1208,1747,92
Mohave County, Arizona,569,1522,3,53,4,0
Navajo County, Arizona,343,729,31,1080,8,37
Pima County, Arizona,7388,5403,545,876,168,92
Pinal County, Arizona,2015,2036,629,346,9,6
Santa Cruz County, Arizona,1128,94,0,0,0,0
Yavapai County, Arizona,468,1586,20,92,7,0
Yuma County, Arizona,2872,591,212,62,12,0
Arkansas County, Arkansas,35,132,110,0,0,0
Ashley County, Arkansas,29,183,154,0,0,0
Baxter County, Arkansas,53,426,10,3,0,0
Benton County, Arkansas,590,1942,77,22,32,0
Boone County, Arkansas,14,492,0,7,0,0
Bradley County, Arkansas,26,129,32,0,0,0
Calhoun County, Arkansas,0,43,6,0,0,0
Carroll County, Arkansas,12,228,4,0,0,0
Chicot County, Arkansas,13,81,103,0,0,0
Clark County, Arkansas,31,228,84,0,0,0
Clay County, Arkansas,0,173,0,0,0,0
Cleburne County, Arkansas,0,313,11,0,0,0
Cleveland County, Arkansas,0,161,21,0,0,0
Columbia County, Arkansas,62,114,188,0,0,0
Conway County, Arkansas,0,199,52,0,0,0
Craighead County, Arkansas,40,581,167,0,9,0
Crawford County, Arkansas,127,672,1,11,55,0
Crittenden County, Arkansas,0,165,390,0,37,0
Cross County, Arkansas,0,125,92,0,0,0
Dallas County, Arkansas,0,56,40,0,0,0
Desha County, Arkansas,19,72,115,0,0,0
Drew County, Arkansas,0,112,24,0,3,0
Faulkner County, Arkansas,67,965,185,11,63,0
Franklin County, Arkansas,0,230,0,6,0,0
Fulton County, Arkansas,0,95,0,0,0,0
Garland County, Arkansas,41,661,156,0,23,0
Grant County, Arkansas,31,218,0,0,0,0
Greene County, Arkansas,0,577,4,0,0,0
Hempstead County, Arkansas,34,132,158,0,0,0
Hot Spring County, Arkansas,2,455,109,0,0,0
Howard County, Arkansas,0,72,35,0,0,0
Independence County, Arkansas,51,302,52,0,0,0
Izard County, Arkansas,38,75,0,8,0,0
Jackson County, Arkansas,14,165,43,0,0,0
Jefferson County, Arkansas,28,343,587,14,0,0
Johnson County, Arkansas,26,150,0,0,0,0
Lafayette County, Arkansas,0,42,83,0,0,0
Lawrence County, Arkansas,1,262,0,0,0,0
Lee County, Arkansas,0,14,43,0,0,0
Lincoln County, Arkansas,19,89,91,8,0,0
Little River County, Arkansas,0,87,19,7,0,0
Logan County, Arkansas,85,369,0,31,0,0
Lonoke County, Arkansas,27,757,56,0,0,0
Madison County, Arkansas,24,166,0,0,0,0
Marion County, Arkansas,7,198,0,0,0,0
Miller County, Arkansas,21,270,152,0,0,0
Mississippi County, Arkansas,59,385,212,0,0,0
Monroe County, Arkansas,3,148,73,0,0,0
Montgomery County, Arkansas,2,83,3,0,0,0
Nevada County, Arkansas,8,69,46,0,0,0
Newton County, Arkansas,0,126,0,0,0,0
Ouachita County, Arkansas,2,237,258,0,0,0
Perry County, Arkansas,0,81,0,0,9,0
Phillips County, Arkansas,7,119,254,0,0,0
Pike County, Arkansas,0,135,8,0,0,0
Poinsett County, Arkansas,22,234,28,0,0,0
Polk County, Arkansas,31,225,1,4,0,0
Pope County, Arkansas,202,856,22,16,0,0
Prairie County, Arkansas,5,56,15,0,0,0
Pulaski County, Arkansas,262,2197,2423,37,149,0
Randolph County, Arkansas,0,281,0,0,0,0
St. Francis County, Arkansas,25,112,362,0,0,0
Saline County, Arkansas,89,1140,48,18,0,0
Scott County, Arkansas,9,53,0,0,0,0
Searcy County, Arkansas,0,90,0,0,0,0
Sebastian County, Arkansas,398,1186,243,25,45,0
Sevier County, Arkansas,29,95,16,35,0,0
Sharp County, Arkansas,25,208,0,0,0,0
Stone County, Arkansas,4,183,0,0,0,0
Union County, Arkansas,25,183,257,0,0,0
Van Buren County, Arkansas,32,98,0,0,0,0
Washington County, Arkansas,671,1887,68,31,79,90
White County, Arkansas,80,629,97,0,0,0
Woodruff County, Arkansas,6,68,31,0,0,0
Yell County, Arkansas,71,292,0,0,13,0
Alameda County, California,6304,5469,3469,109,4763,228
Alpine County, California,0,13,0,3,0,0
Amador County, California,284,563,84,24,18,0
Butte County, California,675,1835,28,14,312,3
Calaveras County, California,116,437,0,0,0,0
Colusa County, California,308,103,5,0,0,0
Contra Costa County, California,5855,6352,1890,121,1757,111
Del Norte County, California,115,153,81,79,21,0
El Dorado County, California,561,1922,20,34,179,2
Fresno County, California,10755,3672,1083,152,2255,50
Glenn County, California,427,185,3,0,23,8
Humboldt County, California,272,1025,40,170,73,37
Imperial County, California,3164,200,169,53,73,0
Inyo County, California,87,70,0,39,0,0
Kern County, California,10498,4670,893,154,745,5
Kings County, California,1742,890,326,42,114,0
Lake County, California,196,421,54,9,0,0
Lassen County, California,262,537,179,51,15,0
Los Angeles County, California,112188,26943,15787,1128,16180,561
Madera County, California,1858,868,76,35,40,14
Marin County, California,766,1664,235,28,128,18
Mariposa County, California,21,163,0,0,0,0
Mendocino County, California,484,637,15,104,51,1
Merced County, California,3197,1275,54,35,512,11
Modoc County, California,44,35,5,14,0,0
Mono County, California,93,52,0,0,0,0
Monterey County, California,4743,1490,244,84,372,0
Napa County, California,1029,780,20,23,91,60
Nevada County, California,236,1168,40,45,0,0
Orange County, California,22704,15440,789,250,7312,227
Placer County, California,1082,3430,82,13,185,0
Plumas County, California,30,311,2,3,0,0
Riverside County, California,26179,10696,3282,493,2119,94
Sacramento County, California,7408,8791,3396,210,3590,324
San Benito County, California,494,232,0,13,20,0
San Bernardino County, California,28283,10107,4278,505,1635,144
San Diego County, California,24489,16198,3237,295,4358,275
San Francisco County, California,1464,869,816,25,2888,200
San Joaquin County, California,6100,3389,1415,124,1835,131
San Luis Obispo County, California,1215,1869,126,60,113,9
San Mateo County, California,3818,3321,462,18,2242,278
Santa Barbara County, California,3974,2178,198,56,220,0
Santa Clara County, California,9785,6693,783,99,7378,117
Santa Cruz County, California,1892,1375,20,3,66,0
Shasta County, California,438,2126,55,48,101,0
Sierra County, California,0,31,0,0,0,0
Siskiyou County, California,66,400,3,5,9,0
Solano County, California,2469,1956,1035,59,856,78
Sonoma County, California,2408,4135,139,34,317,51
Stanislaus County, California,5003,3063,308,95,610,0
